"Label";"Foreign trade index - Imports - All geographical zones - CPF 01 - Products of agriculture, hunting and related services - Reference 100 in 2005 - Stopped series";"Codes"
"idBank";"001625988";""
"Last update";"11/07/2022 16:47";""
"Period";"";""
"1999-01";"91.7";"A"
"1999-02";"91.5";"A"
"1999-03";"90.1";"A"
"1999-04";"89.0";"A"
"1999-05";"86.5";"A"
"1999-06";"84.2";"A"
"1999-07";"83.1";"A"
"1999-08";"83.8";"A"
"1999-09";"85.0";"A"
"1999-10";"83.4";"A"
"1999-11";"81.7";"A"
"1999-12";"86.9";"A"
"2000-01";"86.9";"A"
"2000-02";"91.6";"A"
"2000-03";"90.5";"A"
"2000-04";"92.4";"A"
"2000-05";"92.6";"A"
"2000-06";"88.1";"A"
"2000-07";"88.5";"A"
"2000-08";"85.7";"A"
"2000-09";"86.6";"A"
"2000-10";"92.7";"A"
"2000-11";"94.3";"A"
"2000-12";"98.8";"A"
"2001-01";"91.0";"A"
"2001-02";"92.0";"A"
"2001-03";"95.0";"A"
"2001-04";"97.7";"A"
"2001-05";"101.8";"A"
"2001-06";"99.4";"A"
"2001-07";"96.9";"A"
"2001-08";"93.9";"A"
"2001-09";"95.7";"A"
"2001-10";"89.5";"A"
"2001-11";"87.8";"A"
"2001-12";"97.9";"A"
"2002-01";"100.8";"A"
"2002-02";"101.1";"A"
"2002-03";"103.0";"A"
"2002-04";"96.7";"A"
"2002-05";"94.5";"A"
"2002-06";"89.3";"A"
"2002-07";"89.8";"A"
"2002-08";"88.5";"A"
"2002-09";"94.1";"A"
"2002-10";"93.9";"A"
"2002-11";"94.1";"A"
"2002-12";"94.9";"A"
"2003-01";"96.5";"A"
"2003-02";"102.4";"A"
"2003-03";"102.6";"A"
"2003-04";"101.8";"A"
"2003-05";"101.0";"A"
"2003-06";"97.5";"A"
"2003-07";"93.1";"A"
"2003-08";"95.7";"A"
"2003-09";"97.0";"A"
"2003-10";"100.1";"A"
"2003-11";"95.8";"A"
"2003-12";"94.2";"A"
"2004-01";"95.8";"A"
"2004-02";"95.7";"A"
"2004-03";"99.4";"A"
"2004-04";"97.1";"A"
"2004-05";"101.4";"A"
"2004-06";"102.0";"A"
"2004-07";"95.2";"A"
"2004-08";"92.3";"A"
"2004-09";"95.3";"A"
"2004-10";"94.5";"A"
"2004-11";"94.6";"A"
"2004-12";"99.0";"A"
"2005-01";"98.2";"A"
"2005-02";"103.5";"A"
"2005-03";"107.4";"A"
"2005-04";"95.9";"A"
"2005-05";"101.8";"A"
"2005-06";"100.1";"A"
"2005-07";"95.9";"A"
"2005-08";"98.6";"A"
"2005-09";"99.4";"A"
"2005-10";"99.2";"A"
"2005-11";"98.7";"A"
"2005-12";"100.6";"A"
"2006-01";"101.1";"A"
"2006-02";"102.7";"A"
"2006-03";"101.4";"A"
"2006-04";"98.2";"A"
"2006-05";"101.9";"A"
"2006-06";"100.9";"A"
"2006-07";"101.3";"A"
"2006-08";"103.6";"A"
"2006-09";"101.6";"A"
"2006-10";"98.3";"A"
"2006-11";"97.6";"A"
"2006-12";"98.4";"A"
"2007-01";"103.2";"A"
"2007-02";"103.8";"A"
"2007-03";"105.2";"A"
"2007-04";"106.0";"A"
"2007-05";"104.0";"A"
"2007-06";"102.6";"A"
"2007-07";"100.0";"A"
"2007-08";"100.9";"A"
"2007-09";"106.4";"A"
"2007-10";"108.0";"A"
"2007-11";"108.1";"A"
"2007-12";"109.6";"A"
"2008-01";"109.9";"A"
"2008-02";"113.5";"A"
"2008-03";"113.8";"A"
"2008-04";"112.2";"A"
"2008-05";"113.2";"A"
"2008-06";"111.3";"A"
"2008-07";"111.0";"A"
"2008-08";"111.7";"A"
"2008-09";"111.8";"A"
"2008-10";"112.1";"A"
"2008-11";"112.1";"A"
"2008-12";"109.4";"A"
"2009-01";"111.3";"A"
"2009-02";"111.8";"A"
"2009-03";"110.6";"A"
"2009-04";"108.8";"A"
"2009-05";"109.2";"A"
"2009-06";"103.6";"A"
"2009-07";"98.2";"A"
"2009-08";"97.2";"A"
"2009-09";"102.3";"A"
"2009-10";"103.7";"A"
"2009-11";"104.0";"A"
"2009-12";"104.3";"A"
"2010-01";"109.6";"A"
"2010-02";"112.8";"A"
"2010-03";"116.3";"A"
"2010-04";"120.7";"A"
"2010-05";"118.1";"A"
"2010-06";"120.0";"A"
"2010-07";"118.8";"A"
"2010-08";"119.8";"A"
"2010-09";"116.1";"A"
"2010-10";"115.2";"A"
"2010-11";"116.1";"A"
"2010-12";"115.7";"A"
"2011-01";"118.3";"A"
"2011-02";"125.6";"A"
"2011-03";"124.8";"A"
"2011-04";"123.9";"A"
"2011-05";"126.3";"A"
"2011-06";"121.7";"A"
"2011-07";"121.7";"A"
"2011-08";"123.0";"A"
"2011-09";"119.6";"A"
"2011-10";"121.5";"A"
"2011-11";"122.5";"A"
"2011-12";"119.0";"A"
"2012-01";"116.1";"A"
"2012-02";"123.7";"A"
"2012-03";"124.2";"A"
"2012-04";"120.7";"A"
"2012-05";"123.0";"A"
"2012-06";"125.9";"A"
"2012-07";"124.3";"A"
"2012-08";"121.9";"A"
"2012-09";"117.4";"A"
"2012-10";"116.7";"A"
"2012-11";"114.0";"A"
"2012-12";"112.6";"A"
"2013-01";"119.9";"A"
"2013-02";"123.5";"A"
"2013-03";"121.4";"A"
"2013-04";"121.5";"A"
"2013-05";"129.1";"A"
"2013-06";"126.8";"A"
"2013-07";"116.9";"A"
"2013-08";"115.4";"A"
"2013-09";"111.5";"A"
"2013-10";"113.2";"A"
"2013-11";"112.0";"A"
"2013-12";"117.5";"A"
"2014-01";"112.6";"A"
"2014-02";"115.8";"A"
"2014-03";"114.3";"A"
"2014-04";"114.1";"A"
"2014-05";"114.6";"A"
"2014-06";"115.1";"A"
"2014-07";"112.7";"A"
"2014-08";"114.0";"A"
"2014-09";"117.5";"A"
"2014-10";"120.1";"A"
"2014-11";"118.3";"A"
"2014-12";"119.1";"A"
"2015-01";"123.5";"A"
"2015-02";"127.3";"A"
"2015-03";"126.9";"A"
"2015-04";"127.8";"A"
"2015-05";"131.1";"A"
"2015-06";"127.1";"A"
"2015-07";"121.9";"A"
"2015-08";"126.2";"A"
"2015-09";"126.3";"A"
"2015-10";"127.0";"A"
"2015-11";"124.6";"A"
"2015-12";"124.3";"A"
"2016-01";"121.4";"A"
"2016-02";"124.8";"A"
"2016-03";"126.3";"A"
"2016-04";"127.1";"A"
"2016-05";"132.6";"A"
"2016-06";"130.9";"A"
"2016-07";"129.9";"A"
"2016-08";"130.5";"A"
"2016-09";"125.5";"A"
"2016-10";"125.8";"A"
"2016-11";"126.8";"A"
"2016-12";"131.0";"A"
"2017-01";"139.3";"A"
"2017-02";"139.6";"A"
"2017-03";"126.5";"A"
"2017-04";"132.3";"A"
"2017-05";"129.8";"A"
"2017-06";"124.6";"A"
"2017-07";"123.4";"A"
"2017-08";"120.3";"A"
"2017-09";"122.5";"A"
"2017-10";"124.6";"A"
"2017-11";"126.7";"A"
"2017-12";"129.0";"A"
"2018-01";"123.8";"A"
"2018-02";"125.1";"A"
"2018-03";"123.5";"A"
"2018-04";"121.7";"A"
"2018-05";"128.9";"A"
"2018-06";"127.6";"A"
"2018-07";"121.7";"A"
"2018-08";"121.1";"A"
"2018-09";"121.9";"A"
"2018-10";"117.2";"A"
"2018-11";"120.7";"A"
"2018-12";"119.4";"A"
"2019-01";"121.0";"A"
"2019-02";"120.9";"A"
"2019-03";"120.2";"A"
"2019-04";"121.4";"A"
"2019-05";"119.8";"A"
"2019-06";"124.0";"A"
"2019-07";"123.7";"A"
"2019-08";"124.0";"A"
"2019-09";"123.6";"A"
"2019-10";"125.0";"A"
"2019-11";"125.2";"A"
"2019-12";"123.4";"A"
"2020-01";"126.1";"A"
"2020-02";"123.6";"A"
"2020-03";"127.5";"A"
"2020-04";"136.4";"A"
"2020-05";"136.2";"A"
"2020-06";"128.7";"A"
"2020-07";"122.0";"A"
"2020-08";"123.8";"A"
"2020-09";"124.8";"A"
"2020-10";"126.0";"A"
"2020-11";"124.8";"A"
"2020-12";"125.9";"A"
"2021-01";"127.4";"A"
"2021-02";"125.8";"A"
"2021-03";"132.5";"A"
"2021-04";"133.2";"A"
"2021-05";"129.3";"A"
"2021-06";"124.0";"A"
"2021-07";"129.9";"A"
"2021-08";"129.7";"A"
"2021-09";"128.1";"A"
"2021-10";"131.0";"A"
"2021-11";"129.9";"A"
"2021-12";"132.6";"A"
"2022-01";"137.1";"A"
"2022-02";"138.6";"A"
"2022-03";"140.6";"A"
"2022-04";"145.2";"A"
"2022-05";"146.3";"A"
