Label,"Forecasted trend in investments compared to the previous semester (balance of opinion, as a % of responses) - Manufacturing industry (C) - First estimate - SA data - Stopped series",Codes
1991-07-01,4.3,A
1992-01-01,10.4,A
1992-07-01,2.2,A
1993-01-01,3.2,A
1993-07-01,-14.3,A
1994-01-01,2.3,A
1994-07-01,2.6,A
1995-01-01,22.6,A
1995-07-01,15.6,A
1996-01-01,16.7,A
1996-07-01,10.2,A
1997-01-01,14.0,A
1997-07-01,-3.1,A
1998-01-01,13.3,A
1998-07-01,6.4,A
1999-01-01,13.0,A
1999-07-01,2.8,A
2000-01-01,11.4,A
2000-07-01,9.1,A
2001-01-01,7.9,A
2001-07-01,11.5,A
2002-01-01,-5.7,A
2002-07-01,-1.4,A
2003-01-01,7.9,A
2003-07-01,0.8,A
2004-01-01,3.1,A
2004-07-01,4.2,A
2005-01-01,-5.9,A
2005-07-01,12.0,A
2006-01-01,1.4,A
2006-07-01,12.1,A
2007-01-01,3.1,A
2007-07-01,9.8,A
2008-01-01,8.6,A
2008-07-01,10.6,A
2009-01-01,0.1,A
2009-07-01,-18.2,A
2010-01-01,-11.7,A
2010-07-01,5.3,A
2011-01-01,9.2,A
2011-07-01,19.0,A
2012-01-01,5.9,A
2012-07-01,1.1,A
2013-01-01,-4.8,A
2013-07-01,0.6,A
2014-01-01,-1.8,A
2014-07-01,14.7,A
2015-01-01,-0.2,A
2015-07-01,10.4,A
2016-01-01,2.8,A
2016-07-01,15.2,A
2017-01-01,5.9,A
2017-07-01,11.4,A
2018-01-01,10.3,A
2018-07-01,10.8,A
2019-01-01,12.6,A
2019-07-01,3.8,A
2020-01-01,5.9,A
2020-07-01,-9.1,U
2021-01-01,0.5,A
2021-07-01,7.3,A
